movie_name,comment_sentiment_type,comment_sentiment_name,aspect_name,reason_name,review_count,total_like_count,weighted_score,total_reason_mentions,reason_ratio
让子弹飞,positive,好评,情怀记忆,多年重看,2,564,12.9173,3,0.6667
让子弹飞,positive,好评,情怀记忆,怀旧情怀,1,2302,8.742,3,0.3333
让子弹飞,positive,好评,情绪共鸣,震撼,2,780,13.8924,2,1.0
让子弹飞,positive,好评,整体观感,好看推荐,7,6751,51.1189,15,0.4667
让子弹飞,positive,好评,整体观感,经典神作,6,24593,47.971,15,0.4
让子弹飞,positive,好评,整体观感,期待落差,1,1009,7.9177,15,0.0667
让子弹飞,positive,好评,整体观感,一般还行,1,163,6.0999,15,0.0667
让子弹飞,positive,好评,文化背景,社会群体,3,5782,23.949,4,0.75
让子弹飞,positive,好评,文化背景,中国语境,1,12221,10.411,4,0.25
让子弹飞,positive,好评,画面声音,特效优秀,1,472,7.1591,1,1.0
让子弹飞,positive,好评,类型题材,喜剧效果,2,1891,15.4175,5,0.4
让子弹飞,positive,好评,类型题材,战争历史,2,771,13.5117,5,0.4
让子弹飞,positive,好评,类型题材,爱情题材,1,216,6.3799,5,0.2
让子弹飞,positive,好评,节奏体验,节奏紧凑,2,626,13.2025,3,0.6667
让子弹飞,positive,好评,节奏体验,节奏平淡,1,163,6.0999,3,0.3333
让子弹飞,positive,好评,观看体验,重复观看,2,564,12.9173,4,0.5
让子弹飞,positive,好评,观看体验,观看门槛,1,2302,8.742,4,0.25
让子弹飞,positive,好评,观看体验,影院体验,1,608,7.4118,4,0.25
超脱 Detachment,negative,差评,主题价值,人性思考,4,125,16.1244,8,0.5
超脱 Detachment,negative,差评,主题价值,人生意义,3,54,9.6226,8,0.375
超脱 Detachment,negative,差评,主题价值,现实社会,1,11,3.4849,8,0.125
超脱 Detachment,negative,差评,争议感受,审美不合,3,111,11.7386,4,0.75
超脱 Detachment,negative,差评,争议感受,过誉,1,7,3.0794,4,0.25
超脱 Detachment,negative,差评,人物关系,爱情关系,4,79,13.4705,6,0.6667
超脱 Detachment,negative,差评,人物关系,人物命运,2,52,7.796,6,0.3333
超脱 Detachment,negative,差评,人物表演,角色鲜明,7,286,28.7315,20,0.35
超脱 Detachment,negative,差评,人物表演,演员加分,4,212,17.8838,20,0.2
超脱 Detachment,negative,差评,人物表演,台词经典,3,191,13.4008,20,0.15
超脱 Detachment,negative,差评,人物表演,演技好,3,161,12.6071,20,0.15
超脱 Detachment,negative,差评,人物表演,表演尴尬,3,156,12.1216,20,0.15
超脱 Detachment,negative,差评,剧情内容,剧情精彩,4,122,16.9362,7,0.5714
超脱 Detachment,negative,差评,剧情内容,结尾震撼,2,47,5.8712,7,0.2857
超脱 Detachment,negative,差评,剧情内容,剧情无聊,1,46,4.8501,7,0.1429
超脱 Detachment,negative,差评,导演叙事,表达说教,6,250,24.2762,15,0.4
超脱 Detachment,negative,差评,导演叙事,表达晦涩,4,161,17.0798,15,0.2667
超脱 Detachment,negative,差评,导演叙事,镜头语言好,3,72,10.3369,15,0.2
超脱 Detachment,negative,差评,导演叙事,叙事优秀,1,142,5.9628,15,0.0667
超脱 Detachment,negative,差评,导演叙事,导演能力强,1,4,2.6094,15,0.0667
超脱 Detachment,negative,差评,情怀记忆,怀旧情怀,1,63,5.1589,3,0.3333
